,0,1,2,3,4
0,[1],The earnings per common share and earnings per common share - assuming dilution are the same in each period shown.,,,
1,Consolidated Statement Of Income - USD ($)  $ in Millions,Consolidated Statement Of Income - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statement Of Income - USD ($)  $ in Millions,Consolidated Statement Of Income - USD ($)  $ in Millions,"Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017"
3,Revenues and other income,,,,
4,Sales and other operating revenue,,"$ 255,583","$ 279,332","$ 237,162"
5,Income from equity affiliates,,5441,7355,5380
6,Other income,,3914,3525,1821
7,Total revenues and other income,,264938,290212,244363
8,Costs and other deductions,,,,
9,Crude oil and product purchases,,143801,156172,128217
10,Production and manufacturing expenses,,36826,36682,32690
11,"Selling, general and administrative expenses",,11398,11480,10649
12,Depreciation and depletion,,18998,18745,19893
13,"Exploration expenses, including dry holes",,1269,1466,1790
14,Non-service pension and postretirement benefit expense,,1235,1285,1745
15,Interest expense,,830,766,601
16,Other taxes and duties,,30525,32663,30104
17,Total costs and other deductions,,244882,259259,225689
18,Income before income taxes,,20056,30953,18674
19,Income taxes,,5282,9532,"(1,174)"
20,Net income including noncontrolling interests,,14774,21421,19848
21,Net income attributable to noncontrolling interests,,434,581,138
22,Net income attributable to ExxonMobil,,"$ 14,340","$ 20,840","$ 19,710"
23,Earnings per common share (dollars),[1],$ 3.36,$ 4.88,$ 4.63
24,Earnings per common share - assuming dilution (dollars),,$ 3.36,$ 4.88,$ 4.63
25,,,,,
26,[1] The earnings per common share and earnings per common share - assuming dilution are the same in each period shown.,[1] The earnings per common share and earnings per common share - assuming dilution are the same in each period shown.,[1] The earnings per common share and earnings per common share - assuming dilution are the same in each period shown.,[1] The earnings per common share and earnings per common share - assuming dilution are the same in each period shown.,
