,0,1,2,3,4,5,6
0,[1],"Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares.",,,,,
1,[2],Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.,,,,,
2,"CONSOLIDATED INCOME STATEMENTS (USD $) In Thousands, except Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
3,"CONSOLIDATED INCOME STATEMENTS (USD $) In Thousands, except Share data","Aug. 31, 2010","Aug. 31, 2010","Aug. 31, 2009","Aug. 31, 2009","Aug. 31, 2008","Aug. 31, 2008"
4,REVENUES:,,,,,,
5,"Revenues before reimbursements (""Net revenues"")","$ 21,550,568",,"$ 21,576,850",,"$ 23,386,802",
6,Reimbursements,1543510,,1594118,,1927024,
7,Revenues,23094078,,23170968,,25313826,
8,OPERATING EXPENSES:,,,,,,
9,Cost of services before reimbursable expenses,14299821,,14735736,,16201217,
10,Reimbursable expenses,1543510,,1594118,,1927024,
11,Cost of services,15843331,,16329854,,18128241,
12,Sales and marketing,2658058,,2159462,,2270789,
13,General and administrative costs,1668306,,1788514,,1880342,
14,"Restructuring and reorganization costs, net",9538,,249273,,22872,
15,Total operating expenses,20179233,,20527103,,22302244,
16,OPERATING INCOME,2914845,,2643865,,3011582,
17,"(Loss) gain on investments, net",(6),,1358,,6476,
18,Interest income,29931,,49922,,114621,
19,Interest expense,"(14,677)",,"(14,121)",,"(22,704)",
20,"Other expense, net","(15,724)",,"(3,288)",,"(2,213)",
21,INCOME BEFORE INCOME TAXES,2914369,,2677736,,3107762,
22,Provision for income taxes,853910,,739590,,910574,
23,NET INCOME,2060459,,1938146,,2197188,
24,Net income attributable to noncontrolling interests in Accenture SCA and Accenture Canada Holdings Inc.,"(257,636)",[1],"(330,080)",[1],"(485,891)",[1]
25,Net income attributable to noncontrolling interests-other,"(22,167)",,"(18,103)",,"(19,546)",
26,NET INCOME ATTRIBUTABLE TO ACCENTURE PLC,"$ 1,780,656",,"$ 1,589,963",,"$ 1,691,751",
27,Weighted average Class A ordinary shares:,,,,,,
28,Basic,637170234,,623007198,,610949205,
29,Diluted,766047794,,786506894,,824012720,
30,Earnings per Class A ordinary share:,,,,,,
31,Basic,$ 2.79,,$ 2.55,,$ 2.77,
32,Diluted,$ 2.66,[2],$ 2.44,[2],$ 2.64,[2]
33,Cash dividends per share,$ 1.125,,$ 0.5,,$ 0.42,
34,,,,,,,
35,"[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.","[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.","[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.","[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.","[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.","[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends.","[1] Diluted earnings per share assumes the redemption of all Accenture SCA Class I common shares owned by holders of noncontrolling interests and the exchange of all Accenture Canada Holdings Inc. exchangeable shares for Accenture plc Class A ordinary shares, on a one-for-one basis. The income effect does not take into account ""Net income attributable to noncontrolling interests&#8212;other,"" since those shares are not redeemable or exchangeable for Accenture plc Class A ordinary shares. [2] Fiscal 2008 and 2009 diluted weighted average Accenture plc Class A ordinary shares and earnings per share amounts have been restated to reflect the impact of the issuance of additional restricted share units to holders of restricted share units in connection with the payment of cash dividends."
