,0,1,2,3,4,5,6
0,[1],Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,,,,,
1,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data","Dec. 31, 2010","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2009","Dec. 31, 2008","Dec. 31, 2008"
3,NET OPERATING REVENUES,"$ 35,119",,"$ 30,990",,"$ 31,944",
4,Cost of goods sold,12693,,11088,,11374,
5,GROSS PROFIT,22426,,19902,,20570,
6,"Selling, general and administrative expenses",13158,,11358,,11774,
7,Other operating charges,819,,313,,350,
8,OPERATING INCOME,8449,,8231,,8446,
9,Interest income,317,,249,,333,
10,Interest expense,733,,355,,438,
11,Equity income (loss) - net,1025,,781,,(874),
12,Other income (loss) - net,5185,,40,,39,
13,INCOME BEFORE INCOME TAXES,14243,,8946,,7506,
14,Income taxes,2384,,2040,,1632,
15,CONSOLIDATED NET INCOME,11859,,6906,,5874,
16,Less: Net income attributable to noncontrolling interests,50,,82,,67,
17,NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,"$ 11,809",,"$ 6,824",,"$ 5,807",
18,BASIC NET INCOME PER SHARE (in dollars per share),$ 5.12,[1],$ 2.95,[1],$ 2.51,[1]
19,DILUTED NET INCOME PER SHARE (in dollars per share),$ 5.06,[1],$ 2.93,[1],$ 2.49,[1]
20,AVERAGE SHARES OUTSTANDING (in shares),2308,,2314,,2315,
21,Effect of dilutive securities (in shares),25,,15,,21,
22,AVERAGE SHARES OUTSTANDING ASSUMING DILUTION (in shares),2333,,2329,,2336,
23,,,,,,,
24,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.
