,0,1
0,[1],"For the year ended December 31, 2012, consolidated net income of $1,782 million includes $2 million attributable to preferred shareholders of subsidiaries. Income attributable to preferred shareholders of subsidiaries is not a component of total equity and is excluded from the table above."
1,[2],Net of $27 million tax expense in 2011.
2,[3],Net of $56 million tax benefit in 2011.
3,[4],Net of $6 million tax expense in 2012 and $5 million tax expense in 2011.
4,[5],Net of $62 million tax expense in 2012.
5,[6],Net of $28 million tax benefit in 2011.
6,[7],Net of $46 million tax expense in 2012.
7,[8],Net of $15 million tax benefit in 2011.
8,[9],Net of $16 million tax expense in 2012.
9,[10],Net of $8 million tax expense in 2012.
