,0,1,2,3,4,5,6
0,[1],"Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.",,,,,
1,"CONSOLIDATED STATEMENTS OF EARNINGS (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF EARNINGS (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2010"
3,Income Statement [Abstract],,,,,,
4,Net revenues,"$ 77,393",[1],"$ 76,346",[1],"$ 67,713",[1]
5,Cost of sales,10373,,10678,,9713,
6,Excise taxes on products,46016,,45249,,40505,
7,Gross profit,21004,,20419,,17495,
8,"Marketing, administration and research costs",6978,,6880,,6160,
9,Asset impairment and exit costs (Note 5),83,,109,,47,
10,Amortization of intangibles,97,,98,,88,
11,Operating income,13846,,13332,,11200,
12,"Interest expense, net",859,,800,,876,
13,Earnings before income taxes,12987,,12532,,10324,
14,Provision for income taxes,3833,,3653,,2826,
15,Net earnings,9154,,8879,,7498,
16,Net earnings attributable to noncontrolling interests,354,,288,,239,
17,Net earnings attributable to PMI,"$ 8,800",,"$ 8,591",,"$ 7,259",
18,Per share data (Note 10):,,,,,,
19,Basic earnings per share,$ 5.17,,$ 4.85,,$ 3.93,
20,Diluted earnings per share,$ 5.17,,$ 4.85,,$ 3.92,
21,,,,,,,
22,"[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.","[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.","[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.","[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.","[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.","[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively.","[1]  Total net revenues attributable to customers located in Germany, PMI’s largest market in terms of net revenues, were $7.7 billion, $8.1 billion and $7.5 billion for the years ended December 31, 2012, 2011 and 2010, respectively."
