,0,1,2,3,4
0,[1],"Total net revenues attributable to customers located in Indonesia, PMI’s largest market in terms of net revenues, were $8.0 billion, $7.7 billion and $7.1 billion for the years ended December 31, 2017, 2016 and 2015, respectively. Total net revenues attributable to customers located in Germany were $7.2 billion, $7.1 billion and $7.2 billion for the years ended December 31, 2017, 2016 and 2015, respectively.",,,
1,Consolidated Statements of Earnings - USD ($)  $ in Millions,Consolidated Statements of Earnings - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statements of Earnings - USD ($)  $ in Millions,Consolidated Statements of Earnings - USD ($)  $ in Millions,"Dec. 31, 2017","Dec. 31, 2016","Dec. 31, 2015"
3,Income Statement [Abstract],,,,
4,Net revenues,[1],"$ 78,098","$ 74,953","$ 73,908"
5,Cost of sales,,10432,9391,9365
6,Excise taxes on products,,49350,48268,47114
7,Gross profit,,18316,17294,17429
8,"Marketing, administration and research costs",,6725,6405,6656
9,Asset impairment and exit costs,,0,0,68
10,Amortization of intangibles,,88,74,82
11,Operating income,,11503,10815,10623
12,"Interest expense, net",,914,891,1008
13,Earnings before income taxes,,10589,9924,9615
14,Provision for income taxes,,4307,2768,2688
15,"Equity (income)/loss in unconsolidated subsidiaries, net",,(59),(94),(105)
16,Net earnings,,6341,7250,7032
17,Net earnings attributable to noncontrolling interests,,306,283,159
18,Net earnings attributable to PMI,,"$ 6,035","$ 6,967","$ 6,873"
19,Per share data:,,,,
20,Basic earnings per share (in dollars per share),,$ 3.88,$ 4.48,$ 4.42
21,Diluted earnings per share (in dollars per share),,$ 3.88,$ 4.48,$ 4.42
22,,,,,
23,"[1] Total net revenues attributable to customers located in Indonesia, PMI’s largest market in terms of net revenues, were $8.0 billion, $7.7 billion and $7.1 billion for the years ended December 31, 2017, 2016 and 2015, respectively. Total net revenues attributable to customers located in Germany were $7.2 billion, $7.1 billion and $7.2 billion for the years ended December 31, 2017, 2016 and 2015, respectively.","[1] Total net revenues attributable to customers located in Indonesia, PMI’s largest market in terms of net revenues, were $8.0 billion, $7.7 billion and $7.1 billion for the years ended December 31, 2017, 2016 and 2015, respectively. Total net revenues attributable to customers located in Germany were $7.2 billion, $7.1 billion and $7.2 billion for the years ended December 31, 2017, 2016 and 2015, respectively.","[1] Total net revenues attributable to customers located in Indonesia, PMI’s largest market in terms of net revenues, were $8.0 billion, $7.7 billion and $7.1 billion for the years ended December 31, 2017, 2016 and 2015, respectively. Total net revenues attributable to customers located in Germany were $7.2 billion, $7.1 billion and $7.2 billion for the years ended December 31, 2017, 2016 and 2015, respectively.","[1] Total net revenues attributable to customers located in Indonesia, PMI’s largest market in terms of net revenues, were $8.0 billion, $7.7 billion and $7.1 billion for the years ended December 31, 2017, 2016 and 2015, respectively. Total net revenues attributable to customers located in Germany were $7.2 billion, $7.1 billion and $7.2 billion for the years ended December 31, 2017, 2016 and 2015, respectively.",
